,balance,equity,balance_btc,equity_btc
0,999.99095678634,1000.0,0.0,0.0
60,999.99095678634,1000.0,0.0,0.0
120,999.99095678634,1000.0,0.0,0.0
180,999.99095678634,1000.0,0.0,0.0
240,999.99095678634,1000.0,0.0,0.0
300,999.99095678634,1000.0,0.0,0.0
360,999.99095678634,1000.0,0.0,0.0
420,999.99095678634,1000.0,0.0,0.0
480,999.99095678634,1000.0,0.0,0.0
540,999.99095678634,1000.0,0.0,0.0
600,999.99095678634,1000.0,0.0,0.0
660,999.99095678634,1000.0,0.0,0.0
720,999.99095678634,1000.0,0.0,0.0
780,999.99095678634,1000.0,0.0,0.0
840,999.99095678634,1000.0,0.0,0.0
900,999.99095678634,1000.0,0.0,0.0
960,999.99095678634,1000.0,0.0,0.0
1020,999.99095678634,1000.0,0.0,0.0
1080,999.99095678634,1000.0,0.0,0.0
1140,999.99095678634,1000.0,0.0,0.0
1200,999.99095678634,1000.0,0.0,0.0
1260,999.99095678634,1000.0,0.0,0.0
1320,999.99095678634,1000.0,0.0,0.0
1380,999.99095678634,1000.0,0.0,0.0
1440,999.99095678634,1000.0,0.0,0.0
1500,999.99095678634,1000.0,0.0,0.0
1560,999.99095678634,1000.0,0.0,0.0
1620,999.99095678634,1000.0,0.0,0.0
1680,999.99095678634,1000.0,0.0,0.0
1740,999.99095678634,1000.0,0.0,0.0
1800,999.99095678634,1000.0,0.0,0.0
1860,999.99095678634,1000.0,0.0,0.0
1920,999.99095678634,1000.0,0.0,0.0
1980,999.99095678634,1000.0,0.0,0.0
2040,999.99095678634,1000.0,0.0,0.0
2100,999.99095678634,1000.0,0.0,0.0
2160,999.99095678634,1000.0,0.0,0.0
2220,999.99095678634,1000.0,0.0,0.0
2280,999.99095678634,1000.0,0.0,0.0
2340,999.99095678634,1000.0,0.0,0.0
2400,999.99095678634,1000.0,0.0,0.0
2460,999.99095678634,1000.0,0.0,0.0
2520,999.99095678634,1000.0,0.0,0.0
2580,999.99095678634,1000.0,0.0,0.0
2640,999.99095678634,1000.0,0.0,0.0
2700,999.99095678634,1000.0,0.0,0.0
2760,999.99095678634,1000.0,0.0,0.0
2820,999.99095678634,1000.0,0.0,0.0
2880,999.99095678634,1000.0,0.0,0.0
2940,999.99095678634,1000.0,0.0,0.0
3000,999.99095678634,1000.0,0.0,0.0
3060,999.99095678634,1000.0,0.0,0.0
3120,999.99095678634,1000.0,0.0,0.0
3180,999.99095678634,1000.0,0.0,0.0
3240,999.99095678634,1000.0,0.0,0.0
3300,999.99095678634,1000.0,0.0,0.0
3360,999.99095678634,1000.0,0.0,0.0
3420,999.99095678634,1000.0,0.0,0.0
3480,999.99095678634,1000.0,0.0,0.0
3540,999.99095678634,1000.0,0.0,0.0
3600,999.99095678634,1000.0,0.0,0.0
3660,999.99095678634,1000.0,0.0,0.0
3720,999.99095678634,1000.0,0.0,0.0
3780,999.99095678634,1000.0,0.0,0.0
3840,999.99095678634,1000.0,0.0,0.0
3900,999.99095678634,1000.0,0.0,0.0
3960,999.99095678634,1000.0,0.0,0.0
4020,999.99095678634,1000.0,0.0,0.0
4080,1000.4624270522401,1000.23586977128,0.0,0.0
4140,1000.4624270522401,1000.31617185224,0.0,-0.14625520000000355
4200,1000.4624270522401,1000.14179065224,0.0,-0.32063640000000476
4260,1000.4624270522401,1000.3105466522401,0.0,-0.15188040000000064
4320,1000.45115681,999.76771485224,0.0,-0.6947122000000031
4380,1000.45115681,999.16704681,0.0,-1.2841100000000134
4440,1000.45115681,998.5281206100001,0.0,-1.9230362000000114
4500,1000.45115681,998.42485981,0.0,-2.026297000000014
4560,1000.45115681,998.16025401,0.0,-2.29090280000001
4620,1000.45115681,998.59911241,0.0,-1.8520444000000131
4680,1000.45115681,998.32159901,0.0,-2.1295578000000166
4740,1000.45115681,999.5349134100001,0.0,-0.9162434000000149
4800,1000.45115681,999.62526661,0.0,-0.8258902000000057
4860,1001.22218597116,999.54136721,0.0,-0.9097896000000113
4920,1001.44917557852,1001.22218597116,0.0,0.0
4980,1001.69410670188,1001.55021357852,0.0,0.10103800000000089
5040,1001.68504830178,1001.69410670188,0.0,0.0
5100,1001.9199225781999,1001.42050230178,0.0,-0.26454600000000017
5160,1001.9199225781999,1001.9860843782,0.0,0.06616180000000005
5220,1001.9086358789999,1001.5661007781999,0.0,-0.3538218000000008
5280,1001.9086358789999,1001.2927584789999,0.0,-0.6158774000000047
5340,1001.9086358789999,1001.127743479,0.0,-0.7808923999999979
5400,1002.4447400304399,1001.2333530789999,0.0,-0.6752827999999953
5460,1002.6804370918999,1002.4919736304399,0.0,0.047233600000001146
5520,1002.6804370918999,1002.7688080918999,0.0,0.08837099999999895
5580,1002.9155796096799,1002.8719075918999,0.0,0.19147049999999988
5640,1002.9155796096799,1002.8891223096799,0.0,-0.026457300000002237
5700,1002.9155796096799,1002.6804036096798,0.0,-0.2351760000000057
5760,1002.9155796096799,1002.5304789096799,0.0,-0.3851007000000014
5820,1003.1622127964598,1002.3276396096799,0.0,-0.5879400000000016
5880,1003.1622127964598,1003.1622127964598,0.0,0.0
5940,1003.1622127964598,1003.1622127964598,0.0,0.0
6000,1003.1622127964598,1003.1622127964598,0.0,0.0
6060,1003.1622127964598,1003.1622127964598,0.0,0.0
6120,1003.1531409947798,1003.1622127964598,0.0,0.0
6180,1003.1531409947798,1002.5090635947798,0.0,-0.6440774000000002
6240,1003.1531409947798,1002.6458587947799,0.0,-0.507282200000003
6300,1003.1531409947798,1002.8966499947799,0.0,-0.25649100000000313
