,balance,equity,balance_btc,equity_btc
0,999.9917083648,1000.0,0.0,0.0
60,999.9917083648,1000.0,0.0,0.0
120,999.9917083648,1000.0,0.0,0.0
180,999.9917083648,1000.0,0.0,0.0
240,999.9917083648,1000.0,0.0,0.0
300,999.9917083648,1000.0,0.0,0.0
360,999.9917083648,1000.0,0.0,0.0
420,999.9917083648,1000.0,0.0,0.0
480,999.9917083648,1000.0,0.0,0.0
540,999.9917083648,1000.0,0.0,0.0
600,999.9917083648,1000.0,0.0,0.0
660,999.9917083648,1000.0,0.0,0.0
720,999.9917083648,1000.0,0.0,0.0
780,999.9917083648,1000.0,0.0,0.0
840,999.9917083648,1000.0,0.0,0.0
900,999.9917083648,1000.0,0.0,0.0
960,999.9917083648,1000.0,0.0,0.0
1020,999.9917083648,1000.0,0.0,0.0
1080,999.9917083648,1000.0,0.0,0.0
1140,999.9917083648,1000.0,0.0,0.0
1200,999.9917083648,1000.0,0.0,0.0
1260,999.9917083648,1000.0,0.0,0.0
1320,999.9917083648,1000.0,0.0,0.0
1380,999.9917083648,1000.0,0.0,0.0
1440,999.9917083648,1000.0,0.0,0.0
1500,999.9917083648,1000.0,0.0,0.0
1560,999.9917083648,1000.0,0.0,0.0
1620,999.9917083648,1000.0,0.0,0.0
1680,999.9917083648,1000.0,0.0,0.0
1740,999.9917083648,1000.0,0.0,0.0
1800,999.9917083648,1000.0,0.0,0.0
1860,999.9917083648,1000.0,0.0,0.0
1920,999.9917083648,1000.0,0.0,0.0
1980,999.9917083648,1000.0,0.0,0.0
2040,999.9917083648,1000.0,0.0,0.0
2100,999.9917083648,1000.0,0.0,0.0
2160,999.9917083648,1000.0,0.0,0.0
2220,999.9917083648,1000.0,0.0,0.0
2280,999.9917083648,1000.0,0.0,0.0
2340,999.9917083648,1000.0,0.0,0.0
2400,999.9917083648,1000.0,0.0,0.0
2460,999.9917083648,1000.0,0.0,0.0
2520,999.9917083648,1000.0,0.0,0.0
2580,999.9917083648,1000.0,0.0,0.0
2640,999.9917083648,1000.0,0.0,0.0
2700,999.9917083648,1000.0,0.0,0.0
2760,999.9917083648,1000.0,0.0,0.0
2820,999.9917083648,1000.0,0.0,0.0
2880,999.9917083648,1000.0,0.0,0.0
2940,999.9917083648,1000.0,0.0,0.0
3000,999.9917083648,1000.0,0.0,0.0
3060,999.9917083648,1000.0,0.0,0.0
3120,999.9917083648,1000.0,0.0,0.0
3180,999.9917083648,1000.0,0.0,0.0
3240,999.9917083648,1000.0,0.0,0.0
3300,999.9917083648,1000.0,0.0,0.0
3360,999.9917083648,1000.0,0.0,0.0
3420,999.9917083648,1000.0,0.0,0.0
3480,999.9917083648,1000.0,0.0,0.0
3540,999.9917083648,1000.0,0.0,0.0
3600,999.9917083648,1000.0,0.0,0.0
3660,999.9917083648,1000.0,0.0,0.0
3720,999.9917083648,1000.0,0.0,0.0
3780,999.9917083648,1000.0,0.0,0.0
3840,999.9917083648,1000.0,0.0,0.0
3900,999.9917083648,1000.0,0.0,0.0
3960,999.9917083648,1000.0,0.0,0.0
4020,999.9917083648,1000.0,0.0,0.0
4080,999.9917083648,999.8597523648001,0.0,-0.13195599999999671
4140,1000.2629693182,999.8717483648,0.0,-0.11996000000000032
4200,1000.2629693182,1000.1914913182001,0.0,-0.07147800000000432
4260,1000.2629693182,1000.0961873182,0.0,-0.16678200000000148
4320,1000.2629693182,1000.1557523182,0.0,-0.10721700000000389
4380,1000.2629693182,1000.2510563182,0.0,-0.011913000000001582
4440,1000.2629693182,1000.1795783182,0.0,-0.08339100000000074
4500,1000.2629693182,1000.2987083182,0.0,0.03573899999999958
4560,1000.2629693182,1000.4416643182,0.0,0.17869499999999788
4620,1000.2629693182,1000.5131423182,0.0,0.25017299999999704
4680,1000.2629693182,1000.2629693182,0.0,0.0
4740,1000.2629693182,1000.2272303182,0.0,-0.03573899999999958
4800,1000.5917869922001,1000.2034043182,0.0,-0.05956500000000274
4860,1000.5917869922001,1000.4969709922001,0.0,-0.0948160000000023
4920,1000.5837276322002,1000.5088229922002,0.0,-0.08296400000000073
4980,1000.5837276322002,1000.5363196322002,0.0,-0.04740799999999601
5040,1001.2700474632002,1000.7733596322001,0.0,0.1896320000000046
5100,1001.5991963132002,1001.2461974632001,0.0,-0.023850000000003167
5160,1001.9467403292002,1001.8127483132002,0.0,0.21355199999999747
5220,1001.9384328612002,1001.9467403292002,0.0,0.0
5280,1002.2767641132002,1002.2850743892002,0.0,0.0
5340,1002.2767641132002,1002.3951441132002,0.0,0.1183800000000003
5400,1002.2767641132002,1002.4661721132002,0.0,0.18940799999999947
5460,1002.2767641132002,1002.2057361132003,0.0,-0.07102799999999916
5520,1002.2767641132002,1002.2412501132002,0.0,-0.03551399999999958
5580,1002.2767641132002,1001.9926521132002,0.0,-0.28411200000000175
5640,1002.2767641132002,1001.8979481132002,0.0,-0.37881599999999893
5700,1002.2767641132002,1001.8742721132002,0.0,-0.40249200000000207
5760,1002.2767641132002,1002.2175741132002,0.0,-0.05919000000000272
5820,1002.2767641132002,1002.2886021132002,0.0,0.011837999999996438
5880,1002.2767641132002,1002.3241161132003,0.0,0.04735200000000115
5940,1002.6235228092003,1002.4306581132003,0.0,0.1538939999999999
6000,1002.6235228092003,1002.6235228092003,0.0,0.0
6060,1002.6235228092003,1002.6235228092003,0.0,0.0
6120,1002.6152096592002,1002.6235228092003,0.0,0.0
6180,1002.6152096592002,1002.4739096592002,0.0,-0.14130000000000342
6240,1002.6152096592002,1002.3326096592002,0.0,-0.28260000000000174
6300,1002.6152096592002,1002.0146846592003,0.0,-0.6005250000000031
6360,1002.6071555592002,1001.2412555592002,0.0,-1.3658999999999974
6420,1002.6071555592002,1002.5600555592002,0.0,-0.04709999999999604
6480,1002.6071555592002,1002.3245555592002,0.0,-0.28259999999999663
6540,1002.6071555592002,1001.5238555592002,0.0,-1.0832999999999906
6600,1002.6071555592002,1001.3590055592002,0.0,-1.248149999999992
6660,1002.5932848072002,1001.4767555592002,0.0,-1.1303999999999967
6720,1002.5932848072002,1000.9898098072002,0.0,-1.6034749999999882
6780,1002.5932848072002,1001.2991468072003,0.0,-1.2941379999999856
6840,1002.5932848072002,1002.0503938072003,0.0,-0.5428909999999816
6900,1002.5932848072002,1001.7410568072003,0.0,-0.8522279999999843
6960,1002.5932848072002,1000.9898098072002,0.0,-1.6034749999999882
7020,1002.5932848072002,998.8244508072003,0.0,-3.768833999999988
7080,1002.5932848072002,1000.2827538072003,0.0,-2.3105309999999863
7140,1002.5932848072002,1000.4595178072002,0.0,-2.133766999999982
7200,1002.5932848072002,1001.1665738072003,0.0,-1.4267109999999839
7260,1002.5932848072002,999.6640798072002,0.0,-2.9292049999999916
7320,1002.5932848072002,1000.4153268072002,0.0,-2.177957999999988
7380,1002.5932848072002,999.6640798072002,0.0,-2.9292049999999916
7440,1002.5932848072002,1001.0340008072003,0.0,-1.5592839999999824
7500,1002.5932848072002,1000.4153268072002,0.0,-2.177957999999988
7560,1002.5932848072002,999.9734168072002,0.0,-2.6198679999999888
7620,1002.5932848072002,1000.9898098072002,0.0,-1.6034749999999882
7680,1003.8234097792002,1002.4481128072002,0.0,-0.1451719999999863
7740,1004.1790037432003,1003.9204737792003,0.0,0.09706400000000236
7800,1004.1790037432003,1004.1790037432003,0.0,0.0
7860,1004.1790037432003,1004.1790037432003,0.0,0.0
7920,1004.1790037432003,1004.1790037432003,0.0,0.0
7980,1004.1790037432003,1004.1790037432003,0.0,0.0
8040,1004.5242888812003,1004.1790037432003,0.0,0.0
8100,1004.5242888812003,1004.5242888812003,0.0,0.0
8160,1004.5159599692003,1004.5242888812003,0.0,0.0
8220,1004.5159599692003,1004.5279959692002,0.0,0.012036000000001598
8280,1004.5159599692003,1004.6483559692002,0.0,0.1323960000000019
8340,1004.5159599692003,1004.5881759692003,0.0,0.07221599999999914
8400,1004.5159599692003,1004.6964999692002,0.0,0.18053999999999787
8460,1004.8603066772002,1004.8048239692002,0.0,0.2888640000000018
8520,1004.8603066772002,1004.6441986772003,0.0,-0.21610799999999744
8580,1004.8603066772002,1004.8002766772003,0.0,-0.06002999999999756
8640,1004.8603066772002,1004.7762646772003,0.0,-0.08404200000000074
8700,1004.8603066772002,1004.9203366772002,0.0,0.06002999999999756
8760,1005.2037478772003,1004.7642586772002,0.0,-0.09604800000000234
